Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","2017-18 
CALPADS Fall 1 
Certification Status"
2017-2018,19,64733,0133694,Los Angeles,Los Angeles Unified,Valor Academy Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1787,Directly funded,Y,K,4,206,135,65.5%,178,86.4%,194,128,66.0%,167,86.1%,Y
2017-2018,19,64733,0133702,Los Angeles,Los Angeles Unified,New Los Angeles Charter Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1788,Directly funded,Y,K,5,162,127,78.4%,140,86.4%,147,119,81.0%,131,89.1%,Y
2017-2018,19,64733,0133710,Los Angeles,Los Angeles Unified,Girls Athletic Leadership School Los Angeles,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,Yes,1791,Directly funded,Y,6,8,196,154,78.6%,161,82.1%,196,154,78.6%,161,82.1%,Y
2017-2018,19,64733,0133736,Los Angeles,Los Angeles Unified,"Millikan Science, Technology, Engineering and Math (STEM) Magnet",Unified School District,K-12 Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,12,204,44,21.6%,55,27.0%,204,44,21.6%,55,27.0%,Y
2017-2018,19,64733,0133744,Los Angeles,Los Angeles Unified,Fourth Street Primary Center,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,1,272,232,85.3%,248,91.2%,234,207,88.5%,222,94.9%,Y
2017-2018,19,64733,0133868,Los Angeles,Los Angeles Unified,Rise Kohyang High,Unified School District,High Schools (Public),Traditional,N/A,Yes,1786,Directly funded,Y,9,12,172,114,66.3%,149,86.6%,172,114,66.3%,149,86.6%,Y
2017-2018,19,64733,0133884,Los Angeles,Los Angeles Unified,California Collegiate Charter,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,1771,Directly funded,Y,6,10,159,133,83.6%,140,88.1%,159,133,83.6%,140,88.1%,Y
2017-2018,19,64733,0134023,Los Angeles,Los Angeles Unified,Animo Florence-Firestone Charter Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,Yes,1794,Directly funded,Y,6,8,276,267,96.7%,276,100.0%,276,267,96.7%,276,100.0%,Y
2017-2018,19,64733,0134148,Los Angeles,Los Angeles Unified,The City,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,1710,Directly funded,Y,6,12,351,68,19.4%,85,24.2%,348,68,19.5%,85,24.4%,Y
2017-2018,19,64733,0134205,Los Angeles,Los Angeles Unified,Arts in Action Community Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,Yes,1806,Directly funded,Y,6,8,122,116,95.1%,118,96.7%,122,116,95.1%,118,96.7%,Y
2017-2018,19,64733,0135129,Los Angeles,Los Angeles Unified,PUC International Preparatory Academy,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1820,Directly funded,Y,K,8,84,40,47.6%,51,60.7%,73,38,52.1%,48,65.8%,Y
2017-2018,19,64733,0135509,Los Angeles,Los Angeles Unified,Gabriella Charter 2,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1853,Directly funded,Y,K,8,126,104,82.5%,116,92.1%,119,100,84.0%,111,93.3%,Y
2017-2018,19,64733,0135517,Los Angeles,Los Angeles Unified,KIPP Corazon Academy,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1855,Directly funded,Y,K,8,221,151,68.3%,195,88.2%,199,136,68.3%,177,88.9%,Y
2017-2018,19,64733,0135616,Los Angeles,Los Angeles Unified,Crete Academy,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1854,Directly funded,Y,K,6,124,110,88.7%,112,90.3%,113,100,88.5%,102,90.3%,Y
2017-2018,19,64733,0135632,Los Angeles,Los Angeles Unified,WISH Academy High,Unified School District,High Schools (Public),Traditional,N/A,Yes,1863,Directly funded,Y,9,12,74,21,28.4%,32,43.2%,74,21,28.4%,32,43.2%,Y
2017-2018,19,64733,0135681,Los Angeles,Los Angeles Unified,Horace Mann UCLA Community,Unified School District,K-12 Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,12,394,286,72.6%,288,73.1%,394,286,72.6%,288,73.1%,Y
2017-2018,19,64733,0135707,Los Angeles,Los Angeles Unified,New Middle School Pathway,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,111,40,36.0%,52,46.8%,111,40,36.0%,52,46.8%,Y
2017-2018,19,64733,0135715,Los Angeles,Los Angeles Unified,Ednovate - USC Esperanza College Prep,Unified School District,High Schools (Public),Traditional,N/A,Yes,1842,Directly funded,Y,9,12,72,59,81.9%,67,93.1%,72,59,81.9%,67,93.1%,Y
2017-2018,19,64733,0135723,Los Angeles,Los Angeles Unified,"Ednovate - USC College Prep, Pico-Union/Westlake Campus",Unified School District,High Schools (Public),Traditional,N/A,Yes,1843,Directly funded,Y,9,12,106,85,80.2%,99,93.4%,106,85,80.2%,99,93.4%,Y
2017-2018,19,64733,0135855,Los Angeles,Los Angeles Unified,Maywood Center for Enriched Studies,Unified School District,K-12 Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,12,1048,834,79.6%,957,91.3%,1048,834,79.6%,957,91.3%,Y
2017-2018,19,64733,0135921,Los Angeles,Los Angeles Unified,WISH Community,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1627,Directly funded,Y,K,8,739,128,17.3%,167,22.6%,719,124,17.2%,163,22.7%,Y
2017-2018,19,64733,0135996,Los Angeles,Los Angeles Unified,Boys Academic Leadership Academy,Unified School District,K-12 Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,12,91,69,75.8%,75,82.4%,91,69,75.8%,75,82.4%,Y
2017-2018,19,64733,1930064,Los Angeles,Los Angeles Unified,William Tell Aggeler Opportunity High,Unified School District,Opportunity Schools,Opportunity School,N/A,No ,N/A,N/A,N,7,12,92,72,78.3%,76,82.6%,59,48,81.4%,51,86.4%,Y
2017-2018,19,64733,1930296,Los Angeles,Los Angeles Unified,Harris Newmark Continuation,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,175,165,94.3%,173,98.9%,96,92,95.8%,95,99.0%,Y
2017-2018,19,64733,1930387,Los Angeles,Los Angeles Unified,Central High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,503,437,86.9%,456,90.7%,220,199,90.5%,204,92.7%,Y
2017-2018,19,64733,1930403,Los Angeles,Los Angeles Unified,Whitney Young Continuation,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,63,49,77.8%,52,82.5%,50,39,78.0%,40,80.0%,Y
2017-2018,19,64733,1930429,Los Angeles,Los Angeles Unified,View Park Continuation,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,66,45,68.2%,45,68.2%,46,32,69.6%,32,69.6%,Y
2017-2018,19,64733,1930486,Los Angeles,Los Angeles Unified,Moneta Continuation,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,49,37,75.5%,41,83.7%,37,31,83.8%,34,91.9%,Y
2017-2018,19,64733,1930551,Los Angeles,Los Angeles Unified,San Antonio Continuation,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,130,123,94.6%,126,96.9%,86,80,93.0%,83,96.5%,Y
2017-2018,19,64733,1930577,Los Angeles,Los Angeles Unified,Pueblo de Los Angeles Continuation,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,58,50,86.2%,50,86.2%,42,35,83.3%,35,83.3%,Y
2017-2018,19,64733,1930619,Los Angeles,Los Angeles Unified,Harold McAlister High (Opportunity),Unified School District,Opportunity Schools,Opportunity School,N/A,No ,N/A,N/A,N,6,12,129,117,90.7%,117,90.7%,76,73,96.1%,73,96.1%,Y
2017-2018,19,64733,1930650,Los Angeles,Los Angeles Unified,Phineas Banning Senior High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2441,1971,80.7%,2196,90.0%,2366,1909,80.7%,2129,90.0%,Y
2017-2018,19,64733,1930692,Los Angeles,Los Angeles Unified,Thomas Riley High,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,7,12,66,63,95.5%,65,98.5%,49,46,93.9%,48,98.0%,Y
2017-2018,19,64733,1930734,Los Angeles,Los Angeles Unified,Angel's Gate (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,75,55,73.3%,62,82.7%,57,40,70.2%,46,80.7%,Y
2017-2018,19,64733,1930783,Los Angeles,Los Angeles Unified,Phoenix Continuation,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,75,52,69.3%,60,80.0%,46,33,71.7%,36,78.3%,Y
2017-2018,19,64733,1930791,Los Angeles,Los Angeles Unified,Mt. Lukens Continuation,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,54,39,72.2%,42,77.8%,31,23,74.2%,24,77.4%,Y
2017-2018,19,64733,1930866,Los Angeles,Los Angeles Unified,Bell Senior High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,2609,2206,84.6%,2451,93.9%,2530,2135,84.4%,2376,93.9%,Y
2017-2018,19,64733,1930924,Los Angeles,Los Angeles Unified,Belmont Senior High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,973,822,84.5%,865,88.9%,807,695,86.1%,728,90.2%,Y
2017-2018,19,64733,1930940,Los Angeles,Los Angeles Unified,John R. Wooden High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,99,92,92.9%,98,99.0%,67,63,94.0%,67,100.0%,Y
2017-2018,19,64733,1930973,Los Angeles,Los Angeles Unified,Simon Rodia Continuation,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,178,146,82.0%,165,92.7%,148,121,81.8%,136,91.9%,Y
2017-2018,19,64733,1931047,Los Angeles,Los Angeles Unified,Birmingham Community Charter High,Unified School District,High Schools (Public),Traditional,N/A,Yes,1119,Directly funded,Y,9,12,3154,2311,73.3%,2659,84.3%,3047,2234,73.3%,2571,84.4%,Y
2017-2018,19,64733,1931054,Los Angeles,Los Angeles Unified,Westside Global Awareness Magnet,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,8,380,276,72.6%,313,82.4%,380,276,72.6%,313,82.4%,Y
2017-2018,19,64733,1931070,Los Angeles,Los Angeles Unified,Mid-City's Prescott School of Enriched Sciences,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,8,248,166,66.9%,202,81.5%,248,166,66.9%,202,81.5%,Y
2017-2018,19,64733,1931336,Los Angeles,Los Angeles Unified,Cheviot Hills Continuation,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,59,37,62.7%,40,67.8%,48,30,62.5%,33,68.8%,Y
2017-2018,19,64733,1931377,Los Angeles,Los Angeles Unified,Amelia Earhart Continuation,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,87,66,75.9%,74,85.1%,55,44,80.0%,49,89.1%,Y
2017-2018,19,64733,1931385,Los Angeles,Los Angeles Unified,Albert Einstein Continuation,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,60,54,90.0%,55,91.7%,45,40,88.9%,41,91.1%,Y
2017-2018,19,64733,1931393,Los Angeles,Los Angeles Unified,Highland Park Continuation,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,71,54,76.1%,58,81.7%,52,43,82.7%,45,86.5%,Y
2017-2018,19,64733,1931435,Los Angeles,Los Angeles Unified,Robert H. Lewis Continuation,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,68,54,79.4%,58,85.3%,37,27,73.0%,29,78.4%,Y
2017-2018,19,64733,1931450,Los Angeles,Los Angeles Unified,Jack London Continuation,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,106,105,99.1%,105,99.1%,55,54,98.2%,54,98.2%,Y
2017-2018,19,64733,1931468,Los Angeles,Los Angeles Unified,Metropolitan Continuation,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,84,78,92.9%,80,95.2%,57,53,93.0%,55,96.5%,Y
2017-2018,19,64733,1931476,Los Angeles,Los Angeles Unified,Canoga Park Senior High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1415,1129,79.8%,1250,88.3%,1325,1058,79.8%,1173,88.5%,Y
2017-2018,19,64733,1931484,Los Angeles,Los Angeles Unified,Mission Continuation,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,65,62,95.4%,64,98.5%,38,36,94.7%,38,100.0%,Y
2017-2018,19,64733,1931500,Los Angeles,Los Angeles Unified,Owensmouth Continuation,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,99,80,80.8%,84,84.8%,56,46,82.1%,48,85.7%,Y
2017-2018,19,64733,1931518,Los Angeles,Los Angeles Unified,George S. Patton Continuation,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,63,48,76.2%,51,81.0%,49,39,79.6%,42,85.7%,Y
2017-2018,19,64733,1931526,Los Angeles,Los Angeles Unified,Carson Senior High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1520,922,60.7%,1071,70.5%,1480,889,60.1%,1036,70.0%,Y
2017-2018,19,64733,1931534,Los Angeles,Los Angeles Unified,Will Rogers Continuation,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,146,138,94.5%,140,95.9%,90,84,93.3%,86,95.6%,Y
2017-2018,19,64733,1931559,Los Angeles,Los Angeles Unified,Stoney Point Continuation,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,111,90,81.1%,97,87.4%,69,60,87.0%,64,92.8%,Y
2017-2018,19,64733,1931633,Los Angeles,Los Angeles Unified,Diane S. Leichman Career Preparatory and Transition Center,Unified School District,Special Education Schools (Public),Special Education School,N/A,No ,N/A,N/A,N,6,12,188,110,58.5%,135,71.8%,17,12,70.6%,12,70.6%,Y
2017-2018,19,64733,1931658,Los Angeles,Los Angeles Unified,Frank Lanterman,Unified School District,Special Education Schools (Public),Special Education School,CEP,No ,N/A,N/A,N,6,12,52,42,80.8%,45,86.5%,51,41,80.4%,44,86.3%,Y
2017-2018,19,64733,1931682,Los Angeles,Los Angeles Unified,Zane Grey Continuation,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,76,55,72.4%,58,76.3%,44,34,77.3%,36,81.8%,Y
2017-2018,19,64733,1931690,Los Angeles,Los Angeles Unified,Independence Continuation,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,102,73,71.6%,76,74.5%,45,30,66.7%,31,68.9%,Y
2017-2018,19,64733,1931708,Los Angeles,Los Angeles Unified,Chatsworth Charter High,Unified School District,High Schools (Public),Traditional,N/A,Yes,1581,Locally funded,N,9,12,1864,1093,58.6%,1279,68.6%,1804,1051,58.3%,1235,68.5%,Y
2017-2018,19,64733,1931716,Los Angeles,Los Angeles Unified,Valley Alternative Magnet,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,12,588,388,66.0%,455,77.4%,588,388,66.0%,455,77.4%,Y
2017-2018,19,64733,1931856,Los Angeles,Los Angeles Unified,Whitman Continuation,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,68,54,79.4%,62,91.2%,30,22,73.3%,26,86.7%,Y
2017-2018,19,64733,1931864,Los Angeles,Los Angeles Unified,Grover Cleveland Charter High,Unified School District,High Schools (Public),Traditional,N/A,Yes,1571,Locally funded,N,9,12,3158,1822,57.7%,2098,66.4%,3013,1708,56.7%,1972,65.4%,Y
2017-2018,19,64733,1931930,Los Angeles,Los Angeles Unified,Avalon High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,83,72,86.7%,77,92.8%,51,43,84.3%,47,92.2%,Y
2017-2018,19,64733,1931955,Los Angeles,Los Angeles Unified,Ellington (Duke) High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,71,57,80.3%,62,87.3%,59,48,81.4%,52,88.1%,Y
2017-2018,19,64733,1931971,Los Angeles,Los Angeles Unified,John Hope Continuation,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,71,62,87.3%,63,88.7%,56,50,89.3%,51,91.1%,Y
2017-2018,19,64733,1931989,Los Angeles,Los Angeles Unified,Monterey Continuation,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,62,59,95.2%,61,98.4%,36,35,97.2%,35,97.2%,Y
2017-2018,19,64733,1931997,Los Angeles,Los Angeles Unified,Odyssey Continuation,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,113,99,87.6%,107,94.7%,59,53,89.8%,54,91.5%,Y
2017-2018,19,64733,1932128,Los Angeles,Los Angeles Unified,"Crenshaw Science, Technology, Engineering, Math and Medicine Magnet",Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,781,660,84.5%,698,89.4%,743,629,84.7%,666,89.6%,Y
2017-2018,19,64733,1932250,Los Angeles,Los Angeles Unified,Henry David Thoreau Continuation,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,96,77,80.2%,83,86.5%,66,51,77.3%,56,84.8%,Y
2017-2018,19,64733,1932318,Los Angeles,Los Angeles Unified,Eagle Tree Continuation,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,71,52,73.2%,57,80.3%,52,41,78.8%,46,88.5%,Y
2017-2018,19,64733,1932334,Los Angeles,Los Angeles Unified,Jane Addams Continuation,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,113,72,63.7%,86,76.1%,63,45,71.4%,56,88.9%,Y
2017-2018,19,64733,1932342,Los Angeles,Los Angeles Unified,Evergreen Continuation,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,74,59,79.7%,61,82.4%,38,34,89.5%,36,94.7%,Y
2017-2018,19,64733,1932383,Los Angeles,Los Angeles Unified,Susan Miller Dorsey Senior High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,972,688,70.8%,722,74.3%,902,650,72.1%,682,75.6%,Y
2017-2018,19,64733,1932391,Los Angeles,Los Angeles Unified,West Hollywood Opportunity,Unified School District,Opportunity Schools,Opportunity School,N/A,No ,N/A,N/A,N,7,12,43,31,72.1%,34,79.1%,35,26,74.3%,28,80.0%,Y
2017-2018,19,64733,1932540,Los Angeles,Los Angeles Unified,Eagle Rock High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,12,2325,1154,49.6%,1429,61.5%,2275,1125,49.5%,1393,61.2%,Y
2017-2018,19,64733,1932623,Los Angeles,Los Angeles Unified,El Camino Real Charter High,Unified School District,High Schools (Public),Traditional,N/A,Yes,1314,Directly funded,Y,9,12,3567,988,27.7%,1128,31.6%,3483,963,27.6%,1101,31.6%,Y
2017-2018,19,64733,1932821,Los Angeles,Los Angeles Unified,Boyle Heights Continuation,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,47,43,91.5%,44,93.6%,31,27,87.1%,28,90.3%,Y
2017-2018,19,64733,1932847,Los Angeles,Los Angeles Unified,Los Angeles Center for Enriched Studies,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,6,12,1655,782,47.3%,951,57.5%,1643,778,47.4%,946,57.6%,Y
2017-2018,19,64733,1932888,Los Angeles,Los Angeles Unified,Downtown Business High,Unified School District,Alternative Schools of Choice,Alternative School of Choice,CEP,No ,N/A,N/A,N,9,12,1035,761,73.5%,847,81.8%,1016,748,73.6%,832,81.9%,Y
2017-2018,19,64733,1932896,Los Angeles,Los Angeles Unified,Arroyo Seco Museum Science,Unified School District,Alternative Schools of Choice,Alternative School of Choice,CEP,No ,N/A,N/A,N,K,8,557,395,70.9%,446,80.1%,557,395,70.9%,446,80.1%,Y
2017-2018,19,64733,1932920,Los Angeles,Los Angeles Unified,Fairfax Senior High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1918,1360,70.9%,1532,79.9%,1853,1316,71.0%,1482,80.0%,Y
2017-2018,19,64733,1932987,Los Angeles,Los Angeles Unified,John H. Francis Polytechnic,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,2766,2216,80.1%,2481,89.7%,2675,2137,79.9%,2397,89.6%,Y
